Subfolder,Filename,DealNumber,Kind,NorthHand,EastHand,SouthHand,WestHand,Dealer,Student,Auction,Contract,Declarer,Lead,Analysis
100Deals,deal001.html,1,BID+NEXT,S:J86 H:A98 D:8653 C:AKQ,S:A9 H:QT54 D:QJT2 C:JT3,S:Q53 H:762 D:AK4 C:8742,S:KT742 H:KJ3 D:97 C:965,North,South,1D pass 1NT | pass pass pass,1NT,South,S4,"[show S]\nYou are South and it is your bid. Decide what you would say, then click on <b>BID</b>. [BID 1NT]\n[show NS]\nDo not be tempted to say 2!D, even with such good 3-card help. To support partner's minor suit opening you should have at least 4 cards in the suit. Remember he may have opened a 3-card suit.\nInstead you bid 1NT showing a balanced 6-10 point hand with no 4-card Major suit. Partner passes.\nSouth plays 1NT. West leads the !S4. East wins the !SA, then plays the !S9. West takes his !SK and leads another !S, East discarding a !H.\nMake a Plan, then click NEXT. [NEXT]\n<b>South plays 1NT. West leads the !S4. East wins the !SA, then plays the !S9. West takes his !SK and leads another !S, East discarding a !H.</b>\nTo make a PLAN for a Notrump contract you should count your winners.\nWinners: !S 1 : !H 1 : !D 2 : !C 3 : Total = 7\nFor this deal you see that you already have all the winners you need to make the contract. So you just want to be sure you don't do something stupid that would jeopardize those winners.\nYou win the !SQ, then lead to the !CA, !CK, !CQ. Everybody follows suit to these three tricks. Next you take the !HA. Then you play a small !D to your !DK, then play your !DA. You have now won your required 7 tricks, but you have a bonus. Since all the !Cs except the !C8 have been played your !C8 is now high and you make an overtrick.\nClick NEXT to see the complete deal. [NEXT]\n[RESET]\n[show NESW]\nThis is an example of a straightforward hand where you should take your winners.\nBut even with this type of hand you should make sure you take them in the right order. Here, if you had played the !DA and !DK <b>BEFORE</b> you played the !C A K Q you would have had no entry back to the fourth !C in your hand. In this case it was only an overtrick, in other deals it could make the difference between making and going down."
100Deals,deal002.html,2,BID+NEXT,S:74 H:KQJ3 D:AK75 C:863,S:J986 H:A5 D:Q32 C:QJT4,S:AKQ3 H:T982 D:J4 C:K72,S:T52 H:764 D:T986 C:A95,North,South,1D pass 1H | pass 2H pass 4H | pass pass pass,4H,South,DT,"[show S]\nYou are South and it is your bid. Decide what you would say, then click on <b>BID</b>. [BID 1!H]\nA jump to 2NT would be descriptive, but your first goal is to seek a Major suit fit. When you have two 4-card Majors you should respond ""up-the-line"" so you bid 1!H. Partner says 2!H. What do you bid now? [BID 4!H]\n[show NS]\nPartner would not support your !H suit without 4 cards so you have an 8-card Major fit. There is no point in bidding !Ss.\nPartner has at least 13 points and you have 13 so you bid the game.\nSouth plays 4!H. West leads the !D10.\nMake a Plan, then click NEXT. [NEXT]\n<b>South plays 4!H. West leads the !D10.</b>\nTo make a PLAN for a suit contract you should count your losers.\nLosers: !S 0 : !H 1 : !D 0 : !C 3 : Total = 4\nThere is nothing you can do about losing the Ace of trumps. The three !C losers would only happen if West has the !CA and East wins a trick early, (say with the !HA), and leads a !C through your !CK.\nYou can take care of this possibility by discarding a !C from dummy <b>BEFORE</b> you play trumps. So win the !DK, and play !SA, !SK, !SQ, discarding dummy's !C3 on the last one. Then pull trumps. You will end up losing two !Cs and the !HA.\nClick NEXT to see the Deal that could have set you. [NEXT]\n[show NESW]\nVisualize what would have happened if you had taken the first trick and immediately tried to pull trumps.\nEast would win his !HA and would switch to a black suit to lead up to dummy's weakness. In this case he would surely lead the !CQ, and you would lose three !C tricks and be down before you started.\nMaking a PLAN is a necessary part of being a good Declarer and Visualizing what might happen is a necessary part of making a Plan."
100Deals,deal003.html,3,BID+NEXT,S:AQ5 H:74 D:Q962 C:AJT8,S:KT H:QJT982 D:83 C:652,S:872 H:K6 D:AKJ4 C:KQ74,S:J9643 H:A53 D:T75 C:93,East,South,pass 1NT | pass 3NT pass pass | pass pass pass,3NT,South,S4,"[show S]\nYou are South and it is your bid. Decide what you would say, then click on <b>BID</b>. [BID 1NT]\n[show NS]\nWith 16 points and a balanced hand you should open 1NT. Do not worry about the lack of a !S stopper, a 1NT opening does not guarantee stoppers in all four suits.\nPartner raises you to 3NT.\nSouth plays 3NT. West leads the !S4.\nMake a Plan, then click NEXT. [NEXT]\n<b>South plays 3NT. West leads the !S4.</b>\nWinners: !S 1 : !H 0 : !D 4 : !C 4 : Total = 9\nIt's nice to have a hand where the Winner count is 9. And guess what? West probably has the !SK, so you can finesse on the first trick for an overtrick.\n<b>HOLD IT! JUST STEP AWAY FROM THE QUEEN OF SPADES AND NOBODY WILL GET HURT.</b>\nWhat if you tried the finesse and East had the !SK? And what if he then switched to the !HQ? And what if your opponents then took the next 6 !H tricks? \nI think you get the idea. Win the !SA immediately and then take your other 8 tricks.\nClick NEXT to see the complete Deal. [NEXT]\n[RESET]\n[show NESW]\nThere are times when you have to take finesses - like when you just have to find one more winner. \nThis wasn't one of those times."
100Deals,deal004.html,4,BID+NEXT,S:KQJ H:A862 D:Q63 C:T94,S:72 H:QT43 D:AJ92 C:Q73,S:T98653 H:K7 D:84 C:AKJ,S:A4 H:J95 D:KT75 C:8652,South,South,1S | pass 2H pass 2S | pass 4S pass pass | pass pass pass,4S,South,D5,"[show S]\nYou are South and it is your bid. Decide what you would say, then click on <b>BID</b>. [BID 1!S]\nDon't think of passing. With 11 HCP and 2 length points you open 1!S. Partner responds 2!H. What is your next bid? [BID 2!S]\n[show NS]\nYou must bid and you want to show that you have a bare minimum. You don't want to say 2NT because of that doubleton nothing !D. So you rebid your 6-card !S suit. Partner bids 4!S and everybody passes.\nSouth plays 4!S. West leads the !D5 on which you play dummy's !D3. East wins !DJ, plays !DA, then !D2.\nMake a Plan, then click NEXT. [NEXT]\n<b>South plays 4!S. West leads the !D5 on which you play dummy's !D3. East wins !DJ, plays !DA, then !D2.</b>\nLosers: !S 1 : !H 0 : !D 2 : !C 1 : Total = 4\nYou have already lost the 2 !Ds and you sure can't escape losing the Ace of trumps. So you mustnot lose a !C trick. So your Plan will be to pull trumps, then finesse East for the !CQ. \nYou ruff the third !D, play !Ss until the !SA appears. When you regain the lead you pull any outstanding trumps, play one high !C, (in case someone has a singleton !CQ), then enter dummy with the !HA and make the !C finesse. Half of the time you make the contract, the other half you don't.\nClick NEXT to see the full deal. [NEXT]\n[RESET]\n[show NESW]\nYou were lucky that the !CQ was with East.\nIt's never great when the success of your contract depends on a finesse, but sometimes that's your only hope - a 50% chance."
100Deals,deal005.html,5,BID+NEXT,S:J64 H:Q7 D:A983 C:KQ76,S:A7 H:K653 D:762 C:T543,S:KQT3 H:A4 D:QJT5 C:AJ2,S:9852 H:JT982 D:K4 C:98,East,South,pass 1NT | pass 3NT pass pass | pass pass pass,3NT,South,HJ,"[show S]\nYou are South and it is your bid. Decide what you would say, then click on <b>BID</b>. [BID 1NT]\n[show NS]\nYou have a very solid 17 points and a balanced hand. You open 1NT. Partner responds 3NT and you pass.\nSouth plays 3NT. West leads the !HJ. You hopefully put on the !HQ, but East plays the !HK.\nMake a Plan, then click NEXT. [NEXT]\n<b>South plays 3NT. West leads the !HJ. You hopefully put on the !HQ, but East plays the !HK.</b>\nWinners: !S 0 : !H 1 : !D 1 : !C 4 : Total = 6\nA hold-up won't help unless East had a doubleton !H, giving West a 7-card suit. So you win your !HA. The !S suit is solid after the !SA is played, but before you could enjoy those 3 tricks the defenders would have really enjoyed a bunch of !Hs.\nYour only hope is to win 8 more tricks before you lose the lead. That means the !D finesse had better work. At trick 2 you lead your !DQ, playing low from dummy if West doesn't cover. Repeat the finesse as necessary. When West has the !DK you will make your contract, and when East has the !DK you will go down. That's a 50% chance, just like most finesses. But remember, if you had tried to establish the !S suit instead of taking the finesse your chance of making 3NT would be 0%.\nClick for the full deal. [NEXT]\n[RESET]\n[show NESW]\nYou can see what could have happened if you had tried to sneak even one !S trick. East would have grabbed the !SA and played a small !H. West would have happily taken 4 !H tricks and you would be down 1."
100Deals,deal006.html,6,BID+NEXT+ROTATE,S:QJT9 H:A5 D:7542 C:973,S:8754 H:96 D:KQT9 C:Q84,S:A2 H:K742 D:A863 C:AT5,S:K63 H:QJT83 D:J C:KJ62,South,South,1NT | pass pass pass | pass pass pass,1NT,South,HQ,"[show S]\nYou are South and it is your bid. Decide what you would say, then click on <b>BID</b>. [BID pass]\n[show NS]\nYou have 7 points so you know your side does not have a game. You also have no reason to think there is any better contract than 1NT. So you pass.\nNorth would play 1NT. To make life more convenient the hands will be rotated so that South becomes declarer. \nClick NEXT. [ROTATE]\n[PLAY N:SA,N:S2,N:HK,N:H7,N:H4,N:H2,N:DA,N:D8,N:D6,N:D3,N:CA,N:CT,N:C5,S:SQ,S:SJ,S:ST,S:S9,S:HA,S:H5,S:D7,S:D5,S:D4,S:D2,S:C9,S:C7,S:C3]\nSouth plays 1NT. West leads the !HQ.\nMake a Plan, then click NEXT. [NEXT]\n<b>South plays 1NT. West leads the !HQ.</b>\nWinners: !S 1 : !H 2 : !D 1 : !C 1 : Total = 5\nYou need two more winners. Even if the !Ds split 3-2 you can get only one more from that suit. So clearly you must use the !S suit. Since you have only one entry to dummy you must save it until the right time.\nWin the first trick with the !HK. Then play !SA followed by !S2. Continue playing !Ss until the !SK is forced out. Win whatever they play next and play your other winners. You cannot be stopped from taking 7 tricks.\nClick NEXT to see the full deal. [NEXT]\n[RESET]\n[show NESW]\nImagine what would have happened if you had taken the first trick with dummy's !HA.\nWhat would you try next? A !S finesse? Whether West took his !SK right then or later you would go down. You could never reach dummy again."
100Deals,deal007.html,7,BID+NEXT,S:T64 H:KJ7 D:86 C:J7532,S:982 H:5 D:QT742 C:AK96,S:QJ5 H:AQT963 D:AK5 C:Q,S:AK73 H:842 D:J93 C:T84,South,South,1H | pass 2H pass 4H | pass pass pass | pass pass pass,4H,South,SA,"[show S]\nYou are South and it is your bid. Decide what you would say, then click on <b>BID</b>. [BID 4!H]\nYou have a nice hand, but 20 points is not strong enough to open 2!C. \nSo you open 1!H. Partner raises to 2!H. What do you bid now? [BID pass]\n[show NS]\nPartner's raise to 2!H shows 6-10 points. You figure that should be enough for game but even if he has the full 10 you are not in slam range. So you bid the game. \nSouth plays 4!H. West leads !SA, then switches to !H2.\nMake a Plan, then click NEXT. [NEXT]\n<b>South plays 4!H. West leads !SA, then switches to !H2.</b>\nLosers: !S 2 : !H 0 : !D 1 : !C 1 : Total = 4\nIt's a good thing you stopped at game - partner's hand is about as bad as it could be.\nThe PLAN turns out simple. You can't avoid either of the three black losers so you must eliminate the !D loser. You can ruff it in dummy. Just to be safe you pull one more round of trumps, then play !DA, !DK and !D5, ruffing in dummy. You will eventually get to your hand (with a !S or a !C ruff) and pull the last trump.\nClick NEXT to see the full deal. [NEXT]\n[RESET]\n[show NESW]\nThis PLAN was not difficult.\nOnly a real beginner would have pulled all the trumps and not been able to ruff that !D."
100Deals,deal008.html,8,BID+NEXT+ROTATE,S:74 H:K53 D:AK962 C:KQ3,S:K653 H:Q974 D:T8 C:974,S:A9 H:AJ2 D:QJ3 C:JT862,S:QJT82 H:T86 D:754 C:A5,East,South,pass 1C | pass 1D pass 1NT | pass 3NT pass pass | pass pass pass,3NT,South,SQ,"[show S]\nYou are South and it is your bid. Decide what you would say, then click on <b>BID</b>. [BID pass]\nWith 16 points as Responder you are not quite strong enough for a jump-shift to 2 !D. That requires at least 17 points. A jump to 3NT fits the point range (16-18) but promises a stopper in all unbid suits. So instead you bid 1!D, knowing partner is forced to keep the bidding alive. He now replies 1NT. What is your next bid? [BID pass]\n[show NS]\nUntil now you were thinking the hand might end up in a slam. Now, with partner's minimum rebid, you happily say 3NT which partner passes.\nNorth would play 3NT. \nClick [ROTATE]\n[PLAY N:SA,N:S9,N:HA,N:HJ,N:H2,N:DQ,N:DJ,N:D3,N:CJ,N:CT,N:C8,N:C6,N:C2,S:S7,S:S4,S:HK,S:H5,S:H3,S:DA,S:DK,S:D9,S:D6,S:D2,S:CK,S:CQ,S:C3]\nSouth plays 3NT. West leads the !SQ. East puts on the !SK.\nMake a Plan, then click NEXT. [NEXT]\n<b>South plays 3NT. West leads the !SQ. East puts on the !SK.</b>\nWinners: !S 1 : !H 2 : !D 5 : !C 0 : Total = 8\nLet's say you hold up on the first !S, hoping they switch suits. HA! They aren't about to switch suits and they drive out your !SA at trick 2. That actually clears the situation up and makes this plan pretty simple to make.\nYou have taken 1 !S, and you will surely make 5 !Ds. Despite the solidity of those !Cs you dare not try to win a !C trick, because the defenders will pounce on that first !C and then win a bunch of !S tricks. \nSo that makes it clear that you need 3 !H tricks, and there's only one way to get them. After taking your five !D tricks, play a !H to the !HK, then a !H back, finessing the !HJ. Half of the time you will make this contract, the other half of the time they will bury you with !Ss.\nClick NEXT to see the full deal. [NEXT]\n[RESET]\n[show NESW]\nYou might think if you could just sneak one !C through you wouldn't have to depend on the !H finesse. But put yourself in West's chair. Do you really think he will let you win a !C when he sees he can defeat you by taking his !CA and leading !S winners?"
100Deals,deal009.html,9,BID+NEXT+ROTATE,S:952 H:KQ92 D:KQ83 C:J7,S:A74 H:J863 D:T5 C:9843,S:T63 H:AT754 D:AJ2 C:AK,S:KQJ8 H: D:9764 C:QT652,South,South,1H | pass 3H pass 4H | pass pass pass,4H,South,,"[show S]\nYou are South and it is your bid. Decide what you would say, then click on <b>BID</b>. [BID 3!H]\n[show NS]\nYou have 12 points which isn't quite enough to force to game.\nIt is just right for a limit raise though, so you bid 3!H.\nPartner does bid the game.\nNorth would play 4!H.\nClick [ROTATE]\n[PLAY N:ST,N:S6,N:S3,N:HA,N:HT,N:H7,N:H5,N:H4,N:DA,N:DJ,N:D2,N:CA,N:CK,S:S9,S:S5,S:S2,S:HK,S:HQ,S:H9,S:H2,S:DK,S:DQ,S:D8,S:D3,S:CJ,S:C7]\nSouth plays 4!H. The defense takes the first three !S tricks, then switches to a !C.\nMake a Plan, then click NEXT. [NEXT]\n<b>South plays 4!H. The defense takes the first three !S tricks, then switches to a !C.</b>\nLosers: !S 3 : !H ?? : !D 0 : !C 0 : Total = 3+??\nWith no more outside losers your task is very very simple:<b>DO NOT LOSE A TRUMP TRICK</b>.\nThere is no problem if trumps split 2-2 or 3-1, so you can put your mind to 4-0 splits only. If West holds !H J 8 6 3 then it won't matter whether your first trump play is !HA or !HK, you will still be able to finesse the !HJ. But if East holds !H J 8 6 3 it is vital that you first play either the !HK or !HQ. If you start with the !HA you will have lost your finesse position. The general rule is to first play a high trump from the hand that has two. That preserves a finesse through either defender's !H J x x x.\nClick NEXT to see the full deal. [NEXT]\n[RESET]\n[show NESW]\nVisualize the situation if your first play was the !HA. West would show out and you would learn that East held !H J 8 6 3 but you couldn't do anything about it.\nNext visualize the situation if your first play was the !HK. West would show out and you would play the !HQ, then a small !H finessing your !H10. \nFinally visualize the situation if your first play was the !HK and it was East who showed out. You would play a small !H to your !HA, then lead a !H toward dummy finessing with the !H9.\nUsing the correct Plan guarantees the contract however !Hs split."
100Deals,deal010.html,10,BID+NEXT,S:KQ92 H:952 D:K7 C:KQ83,S: H:A874 D:QJ632 C:T764,S:A8754 H:T63 D:A8 C:AJ2,S:JT63 H:KQJ D:T954 C:95,North,South,1C pass 1S | pass 2S pass 4S | pass pass pass,4S,South,,"[show S]\nYou are South and it is your bid. Decide what you would say, then click on <b>BID</b>. [BID 1!S]\nPartner has opened and you have 14 points. You know you belong in game but there is no need to jump and use up bidding space. You respond 1!S.\nPartner now bids 2!S. What do you bid next? [BID 4!S]\n[show NS]\nYou know you should be in game and now you know the suit. You bid 4!S.\nSouth plays 4!S. The defense quickly takes three !H tricks, then switches to a !D.\nMake a Plan, then click NEXT. [NEXT]\n<b>South plays 4!S. The defense quickly takes three !H tricks, then switches to a !D.</b>\nLosers: !S 0? : !H 3 : !D 0 : !C 0 : Total = 3?\nThis Deal is <b>VERY</b> similar to Deal 9 in that you are only worried about a 4-0 trump split. The reason that it shows up right here is to point out the difference between J 8 6 3 and J 10 6 3.\nIf East holds !S J 10 6 3 then there is nothing you can do about it - you will go down. If you lead a !S from dummy he will ""split his honors"" by playing the !ST. This will force your !SA and he can just sit back and wait for his !SJ to make a trick.\nBut if it is West with !S J 10 6 3 you can keep him from winning a !S trick, <b>IF YOUR FIRST !S PLAY IS THE !SA</b>. East shows out and you play a small !S toward dummy's !S K Q 9. If West plays low you insert the !S9, if he plays one of his honors you win it, then return to your hand and finesse him out of the other honor.\nClick NEXT to see the full deal. [NEXT]\n[RESET]\n[show NESW]\nWhen West holds four trumps you can pick them up if your first !S play is the !SA.\nIf your first !S was !SK or !SQ then it would be too late.\nClick NEXT to see an alternate deal. [NEXT]\n[PLAY E:H4,E:DQ,E:C6,E:C4,W:SJ,W:ST,W:S6,W:S3]\nWhen East holds four trumps there is no way to avoid a loser. As soon as you lead the first small !S from dummy East will play the !ST. That will force your !SA and leave him with !S J 6 3 behind dummy's !S K Q 9.\nTo summarize: If you are missing <b>J x x x</b> your first play should be from the hand with two honors. Then you will  be able to finesse in either direction. If you are missing <b>J 10 x x</b> your first play should be honor from the hand with only one. This will leave you with a double-finesse position in one direction. If the other defender has the trumps there is nothing you can do. "
