lesson,board,fill_lesson,status,detail
100Deals,1,False,clean,
100Deals,2,False,clean,
100Deals,3,False,clean,
100Deals,4,False,clean,
100Deals,5,False,clean,
100Deals,6,False,clean,
100Deals,7,False,clean,
100Deals,8,False,clean,
100Deals,9,False,clean,
100Deals,10,False,clean,
100Deals,11,False,clean,
100Deals,12,False,clean,
100Deals,13,False,clean,
100Deals,14,False,clean,
100Deals,15,False,competitive_or_passedout,
100Deals,16,False,clean,
100Deals,17,False,clean,
100Deals,18,False,competitive_or_passedout,
100Deals,19,False,clean,
100Deals,20,False,biddable,W@t1:1H
100Deals,21,False,clean,
100Deals,22,False,biddable,W@t7:X
100Deals,23,False,clean,
100Deals,24,False,clean,
100Deals,25,False,clean,
100Deals,26,False,clean,
100Deals,27,False,clean,
100Deals,28,False,clean,
100Deals,29,False,clean,
100Deals,30,False,competitive_or_passedout,
100Deals,31,False,clean,
100Deals,32,False,clean,
100Deals,33,False,biddable,W@t2:X
100Deals,34,False,clean,
100Deals,35,False,clean,
100Deals,36,False,clean,
100Deals,37,False,clean,
100Deals,38,False,competitive_or_passedout,
100Deals,39,False,biddable,E@t3:X
100Deals,40,False,biddable,W@t1:X
100Deals,41,False,clean,
100Deals,42,False,biddable,W@t1:1S
100Deals,43,False,clean,
100Deals,44,False,biddable,W@t2:2S
100Deals,45,False,clean,
100Deals,46,False,competitive_or_passedout,
100Deals,47,False,clean,
100Deals,48,False,competitive_or_passedout,
100Deals,49,False,biddable,W@t1:1S
100Deals,50,False,biddable,W@t7:X
100Deals,51,False,clean,
100Deals,52,False,clean,
100Deals,53,False,clean,
100Deals,54,False,clean,
100Deals,55,False,biddable,W@t1:X
100Deals,56,False,clean,
100Deals,57,False,competitive_or_passedout,
100Deals,58,False,clean,
100Deals,59,False,clean,
100Deals,60,False,clean,
100Deals,61,False,clean,
100Deals,62,False,clean,
100Deals,63,False,clean,
100Deals,64,False,clean,
100Deals,65,False,clean,
100Deals,66,False,clean,
100Deals,67,False,clean,
100Deals,68,False,competitive_or_passedout,
100Deals,69,False,clean,
100Deals,70,False,clean,
100Deals,71,False,biddable,W@t1:X
100Deals,72,False,competitive_or_passedout,
100Deals,73,False,clean,
100Deals,74,False,clean,
100Deals,75,False,clean,
100Deals,76,False,competitive_or_passedout,
100Deals,77,False,clean,
100Deals,78,False,biddable,W@t1:X
100Deals,79,False,clean,
100Deals,80,False,clean,
100Deals,81,False,competitive_or_passedout,
100Deals,82,False,clean,
100Deals,83,False,clean,
100Deals,84,False,clean,
100Deals,85,False,clean,
100Deals,86,False,competitive_or_passedout,
100Deals,87,False,clean,
100Deals,88,False,clean,
100Deals,89,False,biddable,W@t1:X
100Deals,90,False,clean,
100Deals,91,False,clean,
100Deals,92,False,clean,
100Deals,93,False,clean,
100Deals,94,False,clean,
100Deals,95,False,clean,
100Deals,96,False,clean,
100Deals,97,False,biddable,E@t3:X
100Deals,98,False,clean,
100Deals,99,False,clean,
100Deals,100,False,clean,
100NT,1,False,clean,
100NT,2,False,clean,
100NT,3,False,clean,
100NT,4,False,clean,
100NT,5,False,clean,
100NT,6,False,biddable,W@t5:X
100NT,7,False,clean,
100NT,8,False,clean,
100NT,9,False,clean,
100NT,10,False,clean,
100NT,11,False,clean,
100NT,12,False,clean,
100NT,13,False,clean,
100NT,14,False,competitive_or_passedout,
100NT,15,False,clean,
100NT,16,False,competitive_or_passedout,
100NT,17,False,clean,
100NT,18,False,clean,
100NT,19,False,clean,
100NT,20,False,clean,
100NT,21,False,clean,
100NT,22,False,clean,
100NT,23,False,clean,
100NT,24,False,clean,
100NT,25,False,clean,
100NT,26,False,clean,
100NT,27,False,clean,
100NT,28,False,clean,
100NT,29,False,competitive_or_passedout,
100NT,30,False,clean,
100NT,31,False,clean,
100NT,32,False,clean,
100NT,33,False,clean,
100NT,34,False,clean,
100NT,35,False,competitive_or_passedout,
100NT,36,False,competitive_or_passedout,
100NT,37,False,clean,
100NT,38,False,clean,
100NT,39,False,clean,
100NT,40,False,clean,
100NT,41,False,competitive_or_passedout,
100NT,42,False,clean,
100NT,43,False,clean,
100NT,44,False,clean,
100NT,45,False,clean,
100NT,46,False,clean,
100NT,47,False,competitive_or_passedout,
100NT,48,False,competitive_or_passedout,
100NT,49,False,clean,
100NT,50,False,clean,
100NT,51,False,clean,
100NT,52,False,clean,
100NT,53,False,clean,
100NT,54,False,clean,
100NT,55,False,competitive_or_passedout,
100NT,56,False,competitive_or_passedout,
100NT,57,False,clean,
100NT,58,False,clean,
100NT,59,False,clean,
100NT,60,False,clean,
100NT,61,False,clean,
100NT,62,False,competitive_or_passedout,
100NT,63,False,clean,
100NT,64,False,clean,
100NT,65,False,clean,
100NT,66,False,clean,
100NT,67,False,clean,
100NT,68,False,clean,
100NT,69,False,clean,
100NT,70,False,competitive_or_passedout,
100NT,71,False,clean,
100NT,72,False,clean,
100NT,73,False,competitive_or_passedout,
100NT,74,False,clean,
100NT,75,False,competitive_or_passedout,
100NT,76,False,competitive_or_passedout,
100NT,77,False,clean,
100NT,78,False,clean,
100NT,79,False,clean,
100NT,80,False,competitive_or_passedout,
100NT,81,False,clean,
100NT,82,False,competitive_or_passedout,
100NT,83,False,clean,
100NT,84,False,clean,
100NT,85,False,clean,
100NT,86,False,clean,
100NT,87,False,competitive_or_passedout,
100NT,88,False,clean,
100NT,89,False,clean,
100NT,90,False,competitive_or_passedout,
100NT,91,False,clean,
100NT,92,False,clean,
100NT,93,False,clean,
100NT,94,False,clean,
100NT,95,False,competitive_or_passedout,
100NT,96,False,clean,
100NT,97,False,clean,
100NT,98,False,clean,
100NT,99,False,clean,
100NT,100,False,clean,
2Club,1,True,clean,
2Club,2,True,biddable,E@t1:X
2Club,3,True,clean,
2Club,4,True,clean,
2Club,5,True,biddable,W@t1:X
2Club,6,True,biddable,"E@t1:2S,W@t3:2S"
2Club,7,True,biddable,E@t3:2H
2Club,8,True,clean,
2Club,9,True,clean,
2Club,10,True,clean,
2Club,11,True,biddable,E@t1:2N
2Club,12,True,clean,
2Club,13,True,clean,
2Club,14,True,clean,
2Club,15,True,clean,
2Club,16,True,clean,
2Club,17,True,clean,
2Club,18,True,clean,
2Club,19,True,clean,
2Club,20,True,clean,
2over1,1,True,clean,
2over1,2,True,clean,
2over1,3,True,clean,
2over1,4,True,competitive_or_passedout,
2over1,5,True,clean,
2over1,6,True,clean,
2over1,7,True,clean,
2over1,8,True,clean,
2over1,9,True,clean,
2over1,10,True,biddable,E@t3:3D
2over1,11,True,clean,
2over1,12,True,clean,
2over1,13,True,clean,
2over1,14,True,clean,
2over1,15,True,clean,
2over1,16,True,clean,
2over1,17,True,biddable,E@t1:X
2over1,18,True,biddable,E@t3:5C
2over1,19,True,competitive_or_passedout,
2over1,20,True,biddable,E@t3:2N
2over1,21,True,clean,
2over1,22,True,clean,
2over1,23,True,clean,
2over1,24,True,clean,
2over1,25,True,biddable,W@t9:X
2over1,26,True,clean,
2over1,27,True,clean,
2over1,28,True,clean,
Blackwood,1,True,biddable,E@t1:1S
Blackwood,2,True,clean,
Blackwood,3,True,clean,
Blackwood,4,True,clean,
Blackwood,5,True,biddable,E@t1:3H
Blackwood,6,True,clean,
Blackwood,7,True,clean,
Blackwood,8,True,clean,
Blackwood,9,True,clean,
Blackwood,10,True,clean,
Blackwood,11,True,clean,
Blackwood,12,True,clean,
Blackwood,13,True,clean,
Blackwood,14,True,clean,
Blackwood,15,True,clean,
Blackwood,16,True,clean,
Blackwood,17,True,clean,
Blackwood,18,True,clean,
Blackwood,19,True,clean,
Blackwood,20,True,clean,
Cue-bid,1,True,competitive_or_passedout,
Cue-bid,2,True,competitive_or_passedout,
Cue-bid,3,True,competitive_or_passedout,
Cue-bid,4,True,competitive_or_passedout,
Cue-bid,5,True,competitive_or_passedout,
Cue-bid,6,True,competitive_or_passedout,
Cue-bid,7,True,competitive_or_passedout,
Cue-bid,8,True,competitive_or_passedout,
Cue-bid,9,True,competitive_or_passedout,
Cue-bid,10,True,competitive_or_passedout,
DONT,1,True,competitive_or_passedout,
DONT,2,True,competitive_or_passedout,
DONT,3,True,competitive_or_passedout,
DONT,4,True,competitive_or_passedout,
DONT,5,True,competitive_or_passedout,
DONT,6,True,competitive_or_passedout,
DONT,7,True,competitive_or_passedout,
DONT,8,True,competitive_or_passedout,
DONT,9,True,competitive_or_passedout,
DONT,10,True,competitive_or_passedout,
DONT,11,True,competitive_or_passedout,
DONT,12,True,competitive_or_passedout,
DONT,13,True,competitive_or_passedout,
DONT,14,True,competitive_or_passedout,
DONT,15,True,competitive_or_passedout,
DONT,16,True,competitive_or_passedout,
