Subfolder,DealNumber,Dealer,AuctionSig,NorthHand,SouthHand,EastHand,WestHand,attempts
2Club,1,S,2C Pass 2D Pass 2NT Pass 3NT Pass Pass Pass,S:Q65 H:864 D:KQ86 C:T87,S:AK82 H:AK3 D:A4 C:KQ94,S:T7 H:J92 D:T75 C:J6532,S:J943 H:QT75 D:J932 C:A,2
2Club,10,N,2C Pass 2NT Pass 3NT Pass 6NT Pass Pass Pass,S:AK8 H:KQT D:KQJ2 C:AT4,S:JT7 H:A96 D:T95 C:KQJ3,S:5432 H:832 D:A4 C:9762,S:Q96 H:J754 D:8763 C:85,2
2Club,11,N,2C Pass 2D Pass 2S Pass 3C Pass 3H Pass 3S Pass Pass Pass,S:AQT64 H:AQ85 D:Q7 C:AK,S:9875 H:64 D:863 C:J752,S:KJ H:T932 D:JT54 C:843,S:32 H:KJ7 D:AK92 C:QT96,2
2Club,12,N,2C Pass 2D Pass 3C Pass 3D Pass 3NT Pass Pass Pass,S:A5 H:A6 D:K7 C:AKQJT63,S:763 H:852 D:9543 C:872,S:Q82 H:QJT93 D:JT86 C:5,S:KJT94 H:K74 D:AQ2 C:94,1
2Club,13,S,2C Pass 2H Pass 3H Pass 4H Pass 4NT Pass 5D Pass 6H Pass Pass Pass,S:Q93 H:A97653 D:72 C:84,S:AK H:KT84 D:KQ9 C:AKQ5,S:JT64 H:J D:AJ3 C:JT972,S:8752 H:Q2 D:T8654 C:63,1
2Club,14,N,2C Pass 2S Pass 3S Pass 4S Pass Pass Pass,S:K53 H:Q95 D:AKQ6 C:AKQ,S:AQJT7 H:86 D:943 C:652,S:84 H:KJT42 D:875 C:943,S:962 H:A73 D:JT2 C:JT87,2
2Club,15,S,2C Pass 2NT Pass 3NT Pass 6NT Pass Pass Pass,S:KQ9 H:864 D:AQT6 C:J54,S:A82 H:AK3 D:KJ7 C:AKT6,S:T53 H:Q952 D:9832 C:Q3,S:J764 H:JT7 D:54 C:9872,1
2Club,16,N,2C Pass 2NT Pass 3NT Pass 7NT Pass Pass Pass,S:AK3 H:KQT D:AJ2 C:KQJT,S:QJT7 H:A96 D:KQ5 C:A83,S:42 H:852 D:T87643 C:92,S:9865 H:J743 D:9 C:7654,1
2Club,17,N,2C Pass 2D Pass 2H Pass 3H Pass 4C Pass 4D Pass 6H,S:AK H:AKT86 D:75 C:AKQ6,S:86 H:Q752 D:A9864 C:53,S:QJT7 H:93 D:KQ2 C:T984,S:95432 H:J4 D:JT3 C:J72,31
2Club,18,N,2C Pass 2D Pass 2H Pass 2S Pass 2NT Pass 3S Pass 4S,S:AJ H:AKT86 D:Q94 C:AKQ,S:KQ9865 H:7 D:85 C:9532,S:T43 H:J4 D:J7632 C:764,S:72 H:Q9532 D:AKT C:JT8,3
